word,num,x,y,z
コロナ,12223,0.8463279895,-0.9343290667,1.92970742
ウイルス,11271,-5.986448045,-5.155036004,1.22988406
新型,8738,-3.72917345,-0.5887894897,4.297111222
感染,6827,-2.614701853,-0.7579217504,-1.653530896
月,1410,8.804436757,8.216181738,1.082191838
確認,1336,-9.885547074,1.627883976,-1.66750089
影響,865,-5.371965803,-3.008881961,-2.198499606
人,647,2.611665914,-4.886649588,-7.084809599
防止,622,-6.53622041,-0.08273060172,5.440717366
マスク,598,-1.942548143,-6.457744667,1.600581701
情報,543,-5.090541544,2.252721449,3.060288237
ニュース,538,-0.9212399292,0.3259117364,0.5477809041
患者,534,-5.747085389,-4.067122045,-2.32140897
質問,468,-3.433163321,-2.166710555,-8.236802217
世界,437,-0.661578366,-2.628997592,-1.985753271
開催,373,-3.145844517,12.69075385,-2.816690106
死亡,369,-6.22766147,1.951336623,-8.747730038
ワクチン,359,-2.299111682,-1.521563254,1.078941621
陽性,349,-2.776364477,-4.233149133,0.1454643871
支援,335,-5.380182284,8.680443171,-3.37354508
消毒,312,-2.990822173,-1.315755002,2.146844395
避難,302,-4.584418752,6.885376701,-1.895188669
中止,291,-5.243749567,4.93079394,-0.1943951903
男性,276,-0.3279114997,-5.425646786,-3.33084995
新規,259,-4.995080726,2.963977,5.346776078
着用,253,-7.464513924,0.01238010797,-5.632203502
募集,239,-5.57846148,4.86159633,-5.009442182
死者,234,-0.2844292048,-1.002692608,-4.904819874
女性,229,0.3730738053,-5.966476416,-5.353100447
リンク,223,-5.909419835,-2.393304548,0.5706953335
インフルエンザ,215,-0.3834698337,-0.814399294,0.1674757321
生活,207,-3.08023295,-0.8217119588,-3.719839494
流行,199,-3.793042463,-2.392406574,-5.184990232
協力,199,-3.769683152,5.797149197,-7.992854185
タ,197,2.812928297,1.137463257,3.093891016
グ,196,1.763643261,0.09197730684,1.513294248
サイト,189,0.425318673,1.537619466,1.430778262
更新,185,-9.772102549,5.498881923,2.491109121
利用,182,-12.60737425,7.562911986,3.59650499
気,182,-0.7870644549,-7.375844599,3.567666762
病院,179,9.123319528,9.364662381,4.012370686
減少,177,-9.85270669,3.89946888,1.912299303
速報,172,-1.819231148,0.2798468183,1.101151199
企業,171,-5.39385893,5.448389149,1.452182962
判明,168,-7.07841753,0.8880995706,-6.513439948
儀式,162,-0.5249166866,-4.148306893,-4.245165906
正解,162,-6.068537933,-3.313590119,-3.755913613
オンライン,159,-2.945180879,0.06410768611,1.845614837
活動,157,-5.856896165,2.450499308,-6.369651578
政府,155,-5.492159286,8.46404621,-5.012565816
累計,155,-1.025817024,0.3560630053,2.308420378
最新,145,-2.946647108,-0.5302663583,3.210422433
風邪,144,0.5784517673,-3.602032509,-1.910959476
自分,144,-1.142505799,-10.95560994,-8.016943316
入院,144,-4.003311252,2.847440722,-7.348603188
撮影,143,-0.8111318731,3.121317205,-0.08431500762
肺炎,139,-1.532033779,-1.732231138,-0.8981807961
徹底,134,-6.836760967,-0.3011211098,-5.802475469
制限,131,-11.95528477,0.9563909837,3.435196
調査,130,-4.800069797,7.9757059,-2.217349382
治療,130,-7.375978612,-2.727169265,-2.638563472
安心,130,-1.904747267,-0.8915196017,-2.602075026
重症,129,-2.788822149,-3.233498529,0.4967374624
再開,127,-3.15739185,8.692935501,1.262987697
注意,127,-6.97840735,-3.895502362,-0.07014068942
五輪,125,1.4570954,0.9067749698,-0.4934569853
